,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence,Cluster
161,Maggie May,Rod Stewart,0.6459999999999999,129.388,0.588,0.0955,0.649,1
162,Lean on Me,Bill Withers,0.22,75.16,0.619,1.1900000000000001e-05,0.423,3
163,"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,0.7190000000000001,95.76899999999999,0.49700000000000005,0.0,0.547,7
164,Somebody to Love,Jefferson Airplane,0.578,132.411,0.504,0.0,0.654,1
165,Good Vibrations - Remastered,The Beach Boys,0.473,133.44899999999998,0.396,0.000124,0.385,5
166,Back for Good - Radio Mix,Take That,0.504,78.961,0.6,0.0,0.547,0
167,Africa,TOTO,0.373,92.71799999999999,0.6709999999999999,8.01e-05,0.732,0
168,Unbelievable,EMF,0.8490000000000001,104.074,0.637,0.0386,0.9359999999999999,6
169,Runaway Train,Soul Asylum,0.72,117.34100000000001,0.613,0.0,0.561,1
170,Nutbush City Limits,Ike & Tina Turner,0.961,76.525,0.693,0.0538,0.897,6
171,I Wanna Be Sedated - 2002 Remaster,Ramones,0.96,163.017,0.597,2.8899999999999998e-05,0.937,2
172,Start Me Up - 2009 Re-Mastered Digital Version,The Rolling Stones,0.932,122.429,0.631,0.13699999999999998,0.971,6
173,November Rain,Guns N' Roses,0.629,79.495,0.19699999999999998,0.27899999999999997,0.221,3
174,Fly Me To The Moon,Frank Sinatra,0.365,119.34200000000001,0.67,0.0,0.45,0
175,I Got You Babe,Sonny & Cher,0.795,110.583,0.629,5.44e-06,0.6,6
176,You Needed Me,Anne Murray,0.29600000000000004,62.20399999999999,0.49700000000000005,0.0,0.171,3
177,Do You Really Want To Hurt Me,Culture Club,0.376,100.78,0.7440000000000001,0.0,0.42,0
178,Thriller,Michael Jackson,0.687,118.39200000000001,0.7709999999999999,0.000225,0.7829999999999999,6
179,Spirit In The Sky,Norman Greenbaum,0.606,128.73,0.537,0.0055899999999999995,0.5820000000000001,1
180,Wind Of Change,Scorpions,0.5429999999999999,151.362,0.45299999999999996,0.0,0.282,5
181,Just the Way You Are,Billy Joel,0.45299999999999996,139.148,0.589,2.54e-05,0.513,1
182,Eve Of Destruction,Barry McGuire,0.307,117.305,0.613,4.52e-06,0.789,0
183,Summer in the City - Remastered,The Lovin' Spoonful,0.6809999999999999,110.461,0.423,0.000177,0.5589999999999999,7
184,Mysterious Ways,U2,0.664,99.794,0.675,0.0126,0.6679999999999999,6
185,The Great Pretender,The Platters,0.382,77.46600000000001,0.537,0.0,0.5429999999999999,3
186,Sweet Caroline - Single Version,Neil Diamond,0.255,127.368,0.5489999999999999,2.17e-05,0.638,0
187,I Feel Love,Donna Summer,0.711,126.696,0.674,0.691,0.961,4
188,Barcelona - Single Version - 2011 Remaster,Freddie Mercury,0.506,106.363,0.249,0.00025299999999999997,0.121,3
189,Sympathy For The Devil,The Rolling Stones,0.6729999999999999,114.385,0.5660000000000001,1.13e-06,0.583,1
190,The Model - 2009 Remaster,Kraftwerk,0.6829999999999999,123.602,0.708,0.643,0.46299999999999997,4
191,Fix You,Coldplay,0.41700000000000004,138.178,0.209,0.00196,0.124,5
192,"Sugar, Sugar",The Archies,0.871,122.395,0.736,0.0,0.9670000000000001,6
193,Sweet Child O' Mine,Guns N' Roses,0.91,125.116,0.45399999999999996,0.0996,0.629,7
194,Annie's Song,John Denver,0.308,147.11700000000002,0.325,0.00603,0.447,5
195,Yesterday - Remastered,The Beatles,0.179,96.529,0.332,0.0,0.315,3
196,Alone Again Or - 2015 Remaster,Love,0.303,174.25400000000002,0.318,0.000223,0.226,5
197,Zombie,The Cranberries,0.635,166.97799999999998,0.307,0.00486,0.305,5
198,The Sound of Silence,Simon & Garfunkel,0.456,107.529,0.435,1.62e-06,0.529,3
199,Bitter Sweet Symphony,The Verve,0.9109999999999999,171.112,0.36200000000000004,0.0,0.498,2
200,Hallelujah,Jeff Buckley,0.136,97.256,0.324,0.00117,0.0831,3
201,Seven Nation Army,The White Stripes,0.466,123.889,0.745,0.35,0.303,4
202,"Non, je ne regrette rien",Édith Piaf,0.354,87.01799999999999,0.382,3.11e-06,0.435,3
203,With Or Without You - Remastered,U2,0.43200000000000005,110.181,0.5379999999999999,0.309,0.11599999999999999,3
204,Blowin' in the Wind,Bob Dylan,0.0993,174.87400000000002,0.38,2.3199999999999998e-05,0.44,5
205,All I Have to Do Is Dream,The Everly Brothers,0.462,96.195,0.534,0.0,0.534,3
206,"If You Leave - From ""Pretty In Pink""",Orchestral Manoeuvres In The Dark,0.757,120.256,0.636,0.122,0.91,6
207,I Say a Little Prayer,Dionne Warwick,0.415,147.2,0.512,0.0,0.7140000000000001,2
208,"Lay, Lady, Lay",Bob Dylan,0.179,155.746,0.52,0.00344,0.40700000000000003,5
209,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",0.488,95.771,0.8029999999999999,0.0609,0.624,0
210,The Night They Drove Old Dixie Down - Remastered 2000,The Band,0.493,127.671,0.507,0.0,0.467,1
211,River Deep - Mountain High,Ike & Tina Turner,0.6409999999999999,83.90100000000001,0.324,8.47e-05,0.308,3
212,Strangers In The Night,Frank Sinatra,0.48200000000000004,90.602,0.272,0.0,0.565,3
213,You're so Vain,Carly Simon,0.6779999999999999,106.186,0.659,6.69e-06,0.647,6
214,Hound Dog,Elvis Presley,0.884,177.75099999999998,0.34299999999999997,0.0006730000000000001,0.94,2
215,Papa Was A Rollin' Stone,The Temptations,0.366,120.545,0.7440000000000001,0.0185,0.8290000000000001,0
216,Sweet Home Alabama,Lynyrd Skynyrd,0.605,97.78200000000001,0.597,0.000331,0.8859999999999999,6
217,That'll Be The Day,Buddy Holly,0.528,126.70700000000001,0.6509999999999999,0.0,0.873,6
218,Ebony And Ivory - Remixed 2015,Paul McCartney,0.691,160.688,0.564,0.0,0.73,2
219,Wake Me up When September Ends,Green Day,0.8140000000000001,104.98,0.546,0.0,0.146,1
220,Only You (And You Alone),The Platters,0.321,80.861,0.401,0.0,0.285,3
221,Rock And Roll Music,Chuck Berry,0.629,165.82299999999998,0.506,4.5e-05,0.846,2
222,Something - Remastered,The Beatles,0.33799999999999997,133.52200000000002,0.396,2.62e-06,0.377,5
223,Me and Bobby McGee,Janis Joplin,0.46399999999999997,93.19,0.45299999999999996,5.96e-05,0.6579999999999999,7
224,Gimme Some Lovin' - Single Mix,The Spencer Davis Group,0.688,147.403,0.493,0.256,0.5329999999999999,1
225,As Time Goes By,Dooley Wilson,0.24,78.056,0.42700000000000005,1.55e-05,0.305,3
226,Who'll Stop The Rain,Creedence Clearwater Revival,0.797,123.566,0.598,0.000407,0.622,6
227,Everybody Wants To Rule The World,Tears For Fears,0.8109999999999999,112.053,0.637,0.00451,0.552,1
228,The Wanderer,Dion,0.544,115.779,0.605,0.00579,0.797,0
229,The Joker,Steve Miller Band,0.44799999999999995,83.29299999999999,0.596,5.3e-06,0.7959999999999999,0
230,Just My Imagination (Running Away With Me),The Temptations,0.242,92.47200000000001,0.425,0.0118,0.47700000000000004,3
231,Singing In The Rain,Gene Kelly,0.282,132.82399999999998,0.384,3.13e-05,0.41700000000000004,5
232,Samba Pa Ti,Santana,0.358,92.292,0.40700000000000003,0.424,0.267,4
